"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HRWKD","TOT","HR_WKD","A","2016",1778,
"USA","HRWKD","TOT","HR_WKD","A","2017",1778,
"USA","HRWKD","TOT","HR_WKD","A","2018",1783,
"USA","HRWKD","TOT","HR_WKD","A","2019",1779,
"EST","HRWKD","TOT","HR_WKD","A","2015",1763,
"EST","HRWKD","TOT","HR_WKD","A","2016",1767,
"EST","HRWKD","TOT","HR_WKD","A","2017",1768,
"EST","HRWKD","TOT","HR_WKD","A","2018",1724,
"EST","HRWKD","TOT","HR_WKD","A","2019",1711,
"SVN","HRWKD","TOT","HR_WKD","A","2015",1687.3,
"SVN","HRWKD","TOT","HR_WKD","A","2016",1652.4,
"SVN","HRWKD","TOT","HR_WKD","A","2017",1621.5,
"SVN","HRWKD","TOT","HR_WKD","A","2018",1598.7,
"SVN","HRWKD","TOT","HR_WKD","A","2019",1592.9,
"OECD","HRWKD","TOT","HR_WKD","A","2015",1745,
"OECD","HRWKD","TOT","HR_WKD","A","2016",1745,
"OECD","HRWKD","TOT","HR_WKD","A","2017",1739,
"OECD","HRWKD","TOT","HR_WKD","A","2018",1735,
"OECD","HRWKD","TOT","HR_WKD","A","2019",1726,
"LVA","HRWKD","TOT","HR_WKD","A","2015",1694,
"LVA","HRWKD","TOT","HR_WKD","A","2016",1694,
"LVA","HRWKD","TOT","HR_WKD","A","2017",1680,
"LVA","HRWKD","TOT","HR_WKD","A","2018",1692,
"LVA","HRWKD","TOT","HR_WKD","A","2019",1661,
"LTU","HRWKD","TOT","HR_WKD","A","2015",1643,
"LTU","HRWKD","TOT","HR_WKD","A","2016",1664,
"LTU","HRWKD","TOT","HR_WKD","A","2017",1627,
"LTU","HRWKD","TOT","HR_WKD","A","2018",1634,
"LTU","HRWKD","TOT","HR_WKD","A","2019",1635,
